,I1,I3,EN,EPN,TOTALQTY,CS1,CS2,CS3,CS4
0,000000000000026,1,10001,,57842,55869,766,1207,0
1,000000000000026,1,10005,,274,274,0,0,0
2,000000000000026,1,10011,,2180,1462,543,159,16
3,000000000000026,1,10021,,82,41,12,29,0
4,000000000000026,1,10041,,832,750,71,11,0
5,000000000000026,1,10049,,8807,8716,0,91,0
6,000000000000026,1,10051,,481,427,20,34,0
7,000000000000026,1,10111,,10777,9047,1730,0,0
8,000000000000026,1,10158,,22873,22819,54,0,0
9,000000000000026,1,10300,,1,0,0,1,0
10,000000000000026,1,10500,,1,0,0,1,0
11,000000000000026,1,10600,,1,0,0,0,1
12,000000000000026,1,10601,,115,0,44,53,18
13,000000000002370,1,10000,,169646,169138,508,0,0
14,000000000002370,1,10001,,89823,84677,102,5044,0
15,000000000002370,1,10051,,2350,2323,19,8,0
16,000000000002370,1,10101,,58318,54533,3510,275,0
17,000000000002370,1,10159,,65289,0,65252,37,0
18,000000000002370,1,10161,,6218,4840,1069,309,0
19,000000000002370,1,10170,,3109,3086,7,0,16
20,000000000002370,1,10200,,1,0,0,1,0
21,000000000002370,1,10201,,3,0,3,0,0
22,000000000002370,1,10300,,4,0,4,0,0
23,000000000002370,1,10301,,9,8,0,0,1
24,000000000002370,1,10400,,1,1,0,0,0
25,000000000002370,1,10475,,1,0,1,0,0
26,000000000002370,1,10500,,1,0,1,0,0
27,000000000002370,1,10550,,1,0,1,0,0
28,000000000002370,1,10600,,1,0,0,1,0
29,000000000002370,1,10601,,671,0,0,533,138
30,000000000002370,1,10620,,1,0,1,0,0
31,000000000002370,1,10650,,1,1,0,0,0
32,000000000002370,1,10700,,1,0,1,0,0
33,000000000002370,1,10750,,1,0,0,1,0
34,000000000002370,1,10800,,1,1,0,0,0
35,000000000002370,1,10850,,10,9,1,0,0
36,000000000002370,1,10890,,4,4,0,0,0
37,000000000002370,1,10910,,9,7,0,0,2
38,000000000002370,1,10911,,9,6,2,1,0
39,000000000010851,1,10000,,491833,471579,20254,0,0
40,000000000010851,1,10001,,107646,105064,268,2314,0
41,000000000010851,1,10031,,45,45,0,0,0
42,000000000010851,1,10055,,2800,2650,0,146,4
43,000000000010851,1,10101,,154500,125744,17655,11101,0
44,000000000010851,1,10132,,704,453,12,37,202
45,000000000010851,1,10158,,156000,155744,237,19,0
46,000000000010851,1,10161,,12000,8366,2351,1283,0
47,000000000010851,1,10179,,12000,11213,4,10,773
48,000000000010851,1,10200,,1,0,1,0,0
49,000000000010851,1,10201,,12,11,0,1,0
50,000000000010851,1,10300,,3,0,3,0,0
51,000000000010851,1,10301,,27,27,0,0,0
52,000000000010851,1,10400,,1,1,0,0,0
53,000000000010851,1,10500,,1,0,1,0,0
54,000000000010851,1,10550,,1,1,0,0,0
55,000000000010851,1,10600,,1,0,1,0,0
56,000000000010851,1,10601,,1236,0,0,1230,6
57,000000000010851,1,10620,,1,0,1,0,0
58,000000000010851,1,10650,,1,0,1,0,0
59,000000000010851,1,10700,,1,0,1,0,0
60,000000000010851,1,10750,,1,0,0,1,0
61,000000000010851,1,10800,,1,1,0,0,0
62,000000000010851,1,10910,,45,40,0,0,5
63,000000000010851,1,10911,,45,32,6,7,0
64,000000000014274,1,10000,,23688,23183,504,1,0
65,000000000014274,1,10051,,262,250,12,0,0
66,000000000014274,1,10158,,5076,5028,48,0,0
67,000000000014274,1,10500,,1,0,0,0,1
68,000000000014274,1,10600,,1,0,1,0,0
69,000000000014274,1,10601,,83,44,10,11,18
70,000000000014274,1,10950,10000,23688,23684,4,0,0
71,1130,2,10003,,15595,0,166,15429,0
72,1130,2,10051,,1152,772,114,266,0
73,1130,2,10158,,5775,5738,34,3,0
74,1130,2,10161,,275,223,52,0,0
75,1130,2,10170,,275,231,44,0,0
76,1130,2,10500,,1,1,0,0,0
77,1130,2,10600,,1,1,0,0,0
78,1130,2,10601,,7,1,5,1,0
79,1963,2,10003,,36007,3245,14405,18349,8
80,1963,2,10051,,2566,2495,43,28,0
81,1963,2,10158,,17252,17252,0,0,0
82,1963,2,10500,,1,1,0,0,0
83,1963,2,10600,,1,1,0,0,0
84,1963,2,10601,,96,89,2,5,0
85,1963,2,10750,,1,0,1,0,0
86,2038,2,10000,,44056,40482,3497,77,0
87,2038,2,10003,,60285,57341,1310,1041,593
88,2038,2,10005,,5276,4760,298,200,18
89,2038,2,10006,,678841,0,469277,185870,23694
90,2038,2,10007,,11845,11730,113,2,0
91,2038,2,10030,,270,235,33,2,0
92,2038,2,10055,,14172,13649,470,35,18
93,2038,2,10080,,3769,3756,12,1,0
94,2038,2,10090,,37639,37530,35,74,0
95,2038,2,10111,,165808,163282,2366,160,0
96,2038,2,10131,,37155,32452,73,0,4630
97,2038,2,10200,,9,9,0,0,0
98,2038,2,10201,,14,9,4,0,1
99,2038,2,10300,,2,2,0,0,0
100,2038,2,10301,,19,17,0,0,2
101,2038,2,10400,,2,2,0,0,0
102,2038,2,10475,,2,2,0,0,0
103,2038,2,10500,,2,2,0,0,0
104,2038,2,10550,,2,2,0,0,0
105,2038,2,10600,,1,1,0,0,0
106,2038,2,10601,,337,330,5,2,0
107,2038,2,10620,,1,1,0,0,0
108,2038,2,10621,,337,330,5,2,0
109,2038,2,10650,,1,0,1,0,0
110,2038,2,10700,,1,1,0,0,0
111,2038,2,10750,,1,0,1,0,0
112,2038,2,10800,,1,1,0,0,0
113,2038,2,10850,,120,120,0,0,0
114,2038,2,10870,,76,76,0,0,0
115,2038,2,10890,,2,1,1,0,0
116,2038,2,10910,,50,50,0,0,0
117,2038,2,10911,,46,46,0,0,0
118,2038,2,10950,10000,55826,50908,0,2794,2124
119,4076,2,10000,,67306,63941,3365,0,0
120,4076,2,10158,,17000,17000,0,0,0
121,4076,2,10161,,1384,1267,116,1,0
122,4076,2,10170,,701,593,105,1,2
123,4076,2,10500,,1,0,0,1,0
124,4076,2,10600,,1,0,0,0,1
125,4076,2,10601,,96,22,73,1,0
126,4076,2,10650,,1,0,0,0,1
127,4076,2,10850,,4,4,0,0,0
128,4076,2,10952,10000,44939,32363,8910,2652,1014
129,00407,4,10001,,79105,60736,5687,12682,0
130,00407,4,10051,,1500,1315,137,48,0
131,00407,4,10111,,51479,41232,10096,151,0
132,00407,4,10131,,3926,1570,786,785,785
133,00407,4,10500,,1,1,0,0,0
134,00407,4,10600,,1,1,0,0,0
135,00407,4,10601,,285,253,31,1,0
136,00407,4,10800,,1,1,0,0,0
137,00538,4,10001,,89600,11148,19712,58240,500
138,00538,4,10051,,3036,3027,4,5,0
139,00538,4,10111,,57152,10694,46158,300,0
140,00538,4,10131,,8000,0,2666,2667,2667
141,00538,4,10600,,1,0,0,1,0
142,00538,4,10601,,148,143,3,2,0
143,00538,4,10850,,2,2,0,0,0
144,01633,4,10006,,25420,0,25320,100,0
